,,,,,,,,,,,,,
,         Organizations,,Instructions:,"Enter your Organizations in the table below. An Organization is any company, government agency, non-profit, or any 
other group you are doing business with or pursuing Opportunities with.The Organizations listed here can be referenced via 
dropdowns in the other input sheets.",,,,,,,,,x
,,,,,,,,,,,,,
,Priority,Name,Type,Acct. Manager,Website,Linkedin,Phone,Street Address,City,State,Zip,Notes,
,A,Astrodeo Pro Gaming Inc.,Customer,Sandra Nichols,www.astrodeogaming.com,https://www.linkedin.com/company/astrodeoprogaming,239-839-9495,"394 West Lantern Street
",Huntsville,AL,35803,,
,A,AutomboParts Co.,Prospect,Lisa Jones,www.automboparts.com,https://www.linkedin.com/company/automboparts,617-440-1163,"34 Sherwood St.
",Mount Airy,MD,21771,,
,A+,Binte Ingredients Ltd.,Prospect,Sandra Nichols,www.bintefoods.com,https://www.linkedin.com/company/bintefoods,308-235-7449,"494 E. Grant Drive
",Huntington Station,NY,11746,,
,A+,Cogitz Technologies Inc.,Prospect,Isaac Gains,www.cogitz.com,https://www.linkedin.com/company/cogitztechnologies,201-248-9620,"8803 Highland Dr.
",West Orange,NJ,17052,,
,A+,Eadeo Audio LLC,Prospect,Lisa Jones,www.eadeollc.com,https://www.linkedin.com/company/eadeoaudio,401-267-9785,"9810 E. Taylor Ave.
",Apopka,FL,32703,,
,A+,Execuvee Placement Inc.,Other,Isaac Gains,www.execuveeplacement.net,https://www.linkedin.com/company/execuveeplacement,754-888-6737,"742 Old York Court
",De Pere,WI,54115,,
,B,Finoid Financial LLC,Prospect,Isaac Gains,www.finoidfinancial.com,https://www.linkedin.com/company/finoidfinance,410-377-9390,"311 Sheffield Drive
",Canfield,OH,44406,,
,B,Frontescent Bank,Prospect,Sandra Nichols,www.frontescentbank.com,https://www.linkedin.com/company/frontescentbank,315-204-7057,"8196 Border Ave.
",Bridgeport,CT,16606,,
,A,Genous Genetics LLC,Prospect,Henry Kramer,www.genousgen.com,https://www.linkedin.com/company/genousgenetics,571-488-4238,8656 Military St.,Urbandale,IA,50322,,
,B,HomovaHomes LLC,Prospect,Isaac Gains,www.homovahomes.com,https://www.linkedin.com/company/homovahomes,269-623-5487,"401 North Cedarwood Drive
",Aberdeen,SD,57401,,
,B,MultinduTV Inc.,Prospect,Lisa Jones,www.multindutv.com,https://www.linkedin.com/company/multindutv,816-835-1901,"9495 Cross Lane
",Akron,OH,44312,,
,B,Omnifix Inc.,Prospect,Isaac Gains,www.omnifixco.net,https://www.linkedin.com/company/omnifix,530-823-5402,599 Cleveland Ave.,Dracut,MA,11826,,
,C,Outescent Co.,Prospect,Sandra Nichols,www.outescentco.com,https://www.linkedin.com/company/outescentco,219-712-9604,"96 West Drive
",Grand Island,NE,68801,,
,A+,Peritri Laboratories,Prospect,Henry Kramer,www.peritrilabscorp.com,https://www.linkedin.com/company/peritrilabs,240-237-1167,"895 N. Arlington Street
",Park Ridge,IL,60068,,
,A,Roocero Farm Equipment Co.,Prospect,Sandra Nichols,www.rooceroco.com,https://www.linkedin.com/company/rooceroco,414-575-9481,"7765 Brookside Lane
",Chelmsford,MA,11824,,
,B,Tare Weights Co.,Prospect,Henry Kramer,www.tareweightsco.com,https://www.linkedin.com/company/tareweightsco,727-232-6660,"71 Sutor Street
",Bakersfield,CA,93306,,
,A,The Megadoo Institute,Prospect,Evan Yates,www.megadooinstitute.org,https://www.linkedin.com/company/megadooinstitute,580-837-3489,"479 Vale Drive
",Kernersville,NC,27284,,
,A+,Voocy Garages LLC,Customer,Henry Kramer,www.voocygaragesllc.com,https://www.linkedin.com/company/voocygaragesllc,440-432-2132,"7215 Purple Finch Drive
",Burke,VA,22015,,
,C,VRIC Corporation,Prospect,Evan Yates,www.vriccorporation.com,https://www.linkedin.com/company/vriccorp,470-839-5241,"68 Eagle St.
",Elizabethton,TN,37643,,